# FSD50K Dev Needed Files
# Format: fname.wav,echo_class

251160.wav,normal
181532.wav,normal
17692.wav,normal
17697.wav,normal
181540.wav,normal
181541.wav,normal
181544.wav,normal
181545.wav,normal
48435.wav,normal
48446.wav,normal
101696.wav,normal
101697.wav,normal
234836.wav,normal
38238.wav,normal
9576.wav,normal
13699.wav,normal
3469.wav,normal
347540.wav,normal
183705.wav,normal
109983.wav,normal
109984.wav,normal
109986.wav,normal
109990.wav,normal
58791.wav,normal
109993.wav,normal
109995.wav,normal
109999.wav,normal
110002.wav,normal
183733.wav,normal
36281.wav,normal
36284.wav,normal
368068.wav,normal
183750.wav,normal
183757.wav,normal
13782.wav,normal
26072.wav,normal
32221.wav,normal
183795.wav,normal
183796.wav,normal
183815.wav,normal
48648.wav,normal
11806.wav,normal
11807.wav,normal
11808.wav,normal
11812.wav,normal
11814.wav,normal
11817.wav,normal
75319.wav,normal
75320.wav,normal
38459.wav,normal
38460.wav,normal
38461.wav,normal
38462.wav,normal
38463.wav,normal
38464.wav,normal
38465.wav,normal
38466.wav,normal
38467.wav,normal
165444.wav,normal
38468.wav,normal
38469.wav,normal
38470.wav,normal
38471.wav,normal
38472.wav,normal
22091.wav,normal
44619.wav,normal
126554.wav,normal
433764.wav,normal
173679.wav,normal
173684.wav,normal
173685.wav,normal
329336.wav,normal
427640.wav,normal
173690.wav,normal
173701.wav,normal
173702.wav,normal
11914.wav,normal
415371.wav,normal
11916.wav,normal
415372.wav,normal
415373.wav,normal
173711.wav,normal
415376.wav,normal
415377.wav,normal
173714.wav,normal
173715.wav,normal
11924.wav,normal
415379.wav,normal
415380.wav,normal
173717.wav,normal
415375.wav,normal
173721.wav,normal
415378.wav,normal
173725.wav,normal
173726.wav,normal
173727.wav,normal
411299.wav,normal
16035.wav,normal
11942.wav,normal
11946.wav,normal
218794.wav,normal
372396.wav,normal
411309.wav,normal
16046.wav,normal
11948.wav,normal
11952.wav,normal
173745.wav,normal
173746.wav,normal
218801.wav,normal
173748.wav,normal
173749.wav,normal
11956.wav,normal
16054.wav,normal
11960.wav,normal
73401.wav,normal
30393.wav,normal
73403.wav,normal
73404.wav,normal
11964.wav,normal
11966.wav,normal
16056.wav,normal
11968.wav,normal
11970.wav,normal
11971.wav,normal
28356.wav,normal
30403.wav,normal
173766.wav,normal
30406.wav,normal
173769.wav,normal
11978.wav,normal
11983.wav,normal
173776.wav,normal
173777.wav,normal
173778.wav,normal
173779.wav,normal
173780.wav,normal
173781.wav,normal
11990.wav,normal
173782.wav,normal
173783.wav,normal
173784.wav,normal
11994.wav,normal
65242.wav,normal
24287.wav,normal
12000.wav,normal
24289.wav,normal
12008.wav,normal
173805.wav,normal
12014.wav,normal
28399.wav,normal
173807.wav,normal
28401.wav,normal
173808.wav,normal
173819.wav,normal
157436.wav,normal
75517.wav,normal
12030.wav,normal
75515.wav,normal
173824.wav,normal
157441.wav,normal
173826.wav,normal
12035.wav,normal
173828.wav,normal
173825.wav,normal
173830.wav,normal
157446.wav,normal
173831.wav,normal
157448.wav,normal
157449.wav,normal
12041.wav,normal
173833.wav,normal
173835.wav,normal
12042.wav,normal
157450.wav,normal
98073.wav,normal
329502.wav,normal
329504.wav,normal
149281.wav,normal
149282.wav,normal
329505.wav,normal
329506.wav,normal
329507.wav,normal
329509.wav,normal
149289.wav,normal
128809.wav,normal
149291.wav,normal
349998.wav,normal
145216.wav,normal
145217.wav,normal
145218.wav,normal
145219.wav,normal
20309.wav,normal
16218.wav,normal
149353.wav,normal
46993.wav,normal
87967.wav,normal
79782.wav,normal
47029.wav,normal
94136.wav,normal
251835.wav,normal
69564.wav,normal
47039.wav,normal
47040.wav,normal
110540.wav,normal
251867.wav,normal
14307.wav,normal
351241.wav,normal
423964.wav,normal
329760.wav,normal
74799.wav,normal
413854.wav,normal
340218.wav,normal
238360.wav,normal
401719.wav,normal
53601.wav,normal
155920.wav,normal
334903.wav,normal
353953.wav,normal
353954.wav,normal
75825.wav,normal
71602.wav,normal
72723.wav,normal
221207.wav,normal
328728.wav,normal
328729.wav,normal
370714.wav,normal
170015.wav,normal
121888.wav,normal
36902.wav,normal
128042.wav,normal
34872.wav,normal
33849.wav,normal
55365.wav,normal
348247.wav,normal
108631.wav,normal
333914.wav,normal
77930.wav,normal
364662.wav,normal
182395.wav,normal
72829.wav,normal
389254.wav,normal
264332.wav,normal
261286.wav,normal
348332.wav,normal
118961.wav,normal
118962.wav,normal
118963.wav,normal
118964.wav,normal
131258.wav,normal
400576.wav,normal
194753.wav,normal
194754.wav,normal
147672.wav,normal
342250.wav,normal
236139.wav,normal
254190.wav,normal
254191.wav,normal
254192.wav,normal
29936.wav,normal
342264.wav,normal
270586.wav,normal
157950.wav,normal
270590.wav,normal
266511.wav,normal
95532.wav,normal
142641.wav,normal
418105.wav,normal
418106.wav,normal
418107.wav,normal
418108.wav,normal
6457.wav,normal
344.wav,normal
235865.wav,normal
235864.wav,normal
235867.wav,normal
160092.wav,normal
84317.wav,normal
160094.wav,normal
235869.wav,normal
235872.wav,normal
160093.wav,normal
235871.wav,normal
162148.wav,normal
418154.wav,normal
418155.wav,normal
235884.wav,normal
235885.wav,normal
235886.wav,normal
418156.wav,normal
235890.wav,normal
85362.wav,normal
245114.wav,normal
398724.wav,normal
235913.wav,normal
332173.wav,normal
332175.wav,normal
332176.wav,normal
184725.wav,normal
236967.wav,normal
50612.wav,normal
50613.wav,normal
50614.wav,normal
380350.wav,normal
11722.wav,normal
70098.wav,normal
164311.wav,normal
35296.wav,normal
67049.wav,normal
236011.wav,normal
236013.wav,normal
236016.wav,normal
236017.wav,normal
236018.wav,normal
236019.wav,normal
236020.wav,normal
236021.wav,normal
236022.wav,normal
236025.wav,normal
381434.wav,normal
236027.wav,normal
236028.wav,normal
236029.wav,normal
236030.wav,normal
236031.wav,normal
236032.wav,normal
236026.wav,normal
236034.wav,normal
236035.wav,normal
236037.wav,normal
236038.wav,normal
236039.wav,normal
236040.wav,normal
236041.wav,normal
236042.wav,normal
236043.wav,normal
236044.wav,normal
236045.wav,normal
236046.wav,normal
236047.wav,normal
236048.wav,normal
236049.wav,normal
236050.wav,normal
236051.wav,normal
236052.wav,normal
236053.wav,normal
236054.wav,normal
117271.wav,normal
236056.wav,normal
236057.wav,normal
236058.wav,normal
236059.wav,normal
236060.wav,normal
236061.wav,normal
236062.wav,normal
236055.wav,normal
365089.wav,normal
236066.wav,normal
236067.wav,normal
236068.wav,normal
236065.wav,normal
196127.wav,normal
54823.wav,normal
236071.wav,normal
433697.wav,normal
433698.wav,normal
236074.wav,normal
236075.wav,normal
236076.wav,normal
236077.wav,normal
234030.wav,normal
236078.wav,normal
184880.wav,normal
236084.wav,normal
236085.wav,normal
236086.wav,normal
236087.wav,normal
236088.wav,normal
236089.wav,normal
236090.wav,normal
236093.wav,normal
236094.wav,normal
236095.wav,normal
236096.wav,normal
236097.wav,normal
277058.wav,normal
236099.wav,normal
236098.wav,normal
236100.wav,normal
236101.wav,normal
236105.wav,normal
236106.wav,normal
137803.wav,normal
236109.wav,normal
236108.wav,normal
236111.wav,normal
236110.wav,normal
236113.wav,normal
236112.wav,normal
236116.wav,normal
236117.wav,normal
236118.wav,normal
236119.wav,normal
236120.wav,normal
236121.wav,normal
236123.wav,normal
211548.wav,normal
236125.wav,normal
236124.wav,normal
236127.wav,normal
236128.wav,normal
236126.wav,normal
420447.wav,normal
420448.wav,normal
236134.wav,normal
420450.wav,normal
236136.wav,normal
236137.wav,normal
114280.wav,normal
236135.wav,normal
236131.wav,normal
236138.wav,normal
387686.wav,normal
236142.wav,normal
387689.wav,normal
236144.wav,normal
236146.wav,normal
236145.wav,normal
236140.wav,normal
236141.wav,normal
125554.wav,normal
432755.wav,normal
236147.wav,normal
236148.wav,normal
236154.wav,normal
236150.wav,normal
236151.wav,normal
236153.wav,normal
236149.wav,normal
236155.wav,normal
119420.wav,normal
236157.wav,normal
236158.wav,normal
236159.wav,normal
236156.wav,normal
264833.wav,normal
236162.wav,normal
236167.wav,normal
236163.wav,normal
236165.wav,normal
236171.wav,normal
125574.wav,normal
236166.wav,normal
164488.wav,normal
236169.wav,normal
236170.wav,normal
379531.wav,normal
236172.wav,normal
236173.wav,normal
390804.wav,normal
390805.wav,normal
236174.wav,normal
236175.wav,normal
236176.wav,normal
236178.wav,normal
236179.wav,normal
236180.wav,normal
236182.wav,normal
236184.wav,normal
236185.wav,normal
236186.wav,normal
236188.wav,normal
236189.wav,normal
144028.wav,normal
236193.wav,normal
85661.wav,normal
236196.wav,normal
236197.wav,normal
85664.wav,normal
236200.wav,normal
236201.wav,normal
236202.wav,normal
236203.wav,normal
236204.wav,normal
155309.wav,normal
236205.wav,normal
155311.wav,normal
155312.wav,normal
236206.wav,normal
236207.wav,normal
236208.wav,normal
155317.wav,normal
236214.wav,normal
236210.wav,normal
183992.wav,normal
236211.wav,normal
236212.wav,normal
236213.wav,normal
107190.wav,normal
236215.wav,normal
236216.wav,normal
236217.wav,normal
236218.wav,normal
236219.wav,normal
236220.wav,normal
236221.wav,normal
236222.wav,normal
50885.wav,normal
236223.wav,normal
236225.wav,normal
236226.wav,normal
236227.wav,normal
236228.wav,normal
236229.wav,normal
236230.wav,normal
236232.wav,normal
236233.wav,normal
236234.wav,normal
236235.wav,normal
236236.wav,normal
236237.wav,normal
236238.wav,normal
236239.wav,normal
236240.wav,normal
236241.wav,normal
236243.wav,normal
236244.wav,normal
347763.wav,normal
236249.wav,normal
236250.wav,normal
236251.wav,normal
236253.wav,normal
236255.wav,normal
236256.wav,normal
242402.wav,normal
242403.wav,normal
55013.wav,normal
236262.wav,normal
236263.wav,normal
236264.wav,normal
220901.wav,normal
220904.wav,normal
236267.wav,normal
236269.wav,normal
236270.wav,normal
236271.wav,normal
236272.wav,normal
236273.wav,normal
236274.wav,normal
236275.wav,normal
236276.wav,normal
244469.wav,normal
86774.wav,normal
236278.wav,normal
236281.wav,normal
236282.wav,normal
236279.wav,normal
381692.wav,normal
236280.wav,normal
156418.wav,normal
404233.wav,normal
43787.wav,normal
74513.wav,normal
63261.wav,normal
372521.wav,normal
372523.wav,normal
35628.wav,normal
372525.wav,normal
4910.wav,normal
372526.wav,normal
4912.wav,normal
372527.wav,normal
372529.wav,normal
372530.wav,normal
47926.wav,normal
420449.wav,normal
387683.wav,normal
420451.wav,normal
387685.wav,normal
180052.wav,normal
72538.wav,normal
325466.wav,normal
387688.wav,normal
372571.wav,normal
325469.wav,normal
325470.wav,normal
239456.wav,normal
325473.wav,normal
325474.wav,normal
387690.wav,normal
381799.wav,normal
325479.wav,normal
33641.wav,normal
413544.wav,normal
325481.wav,normal
77674.wav,normal
193394.wav,normal
62048.wav,normal
268019.wav,normal
128891.wav,normal
72579.wav,normal
7913.wav,normal
351876.wav,normal
179096.wav,normal
245666.wav,normal
116400.wav,normal
97193.wav,normal
410555.wav,normal
178118.wav,normal
351182.wav,normal
98262.wav,normal
360411.wav,normal
28284.wav,normal
157322.wav,normal
130030.wav,normal
369648.wav,normal
257585.wav,normal
146343.wav,normal
327138.wav,normal
266603.wav,normal
232271.wav,normal
167487.wav,normal
4201.wav,normal
18663.wav,normal
46128.wav,normal
245037.wav,normal
99767.wav,normal
116220.wav,normal
85603.wav,normal
386695.wav,normal
120695.wav,normal
159726.wav,normal
264436.wav,normal
89607.wav,normal
63613.wav,normal
86654.wav,normal
86655.wav,normal
86656.wav,normal
186507.wav,normal
387215.wav,normal
66961.wav,normal
387730.wav,normal
387734.wav,normal
125595.wav,normal
125596.wav,normal
125601.wav,normal
66989.wav,normal
107437.wav,normal
107465.wav,normal
107467.wav,normal
107469.wav,normal
246526.wav,normal
111615.wav,normal
259582.wav,normal
139307.wav,normal
413761.wav,normal
65651.wav,normal
65652.wav,normal
51315.wav,normal
65654.wav,normal
65655.wav,normal
65658.wav,normal
65660.wav,normal
65662.wav,normal
186497.wav,normal
186501.wav,normal
186508.wav,normal
186509.wav,normal
186510.wav,normal
65717.wav,normal
65718.wav,normal
65719.wav,normal
65721.wav,normal
65723.wav,normal
65724.wav,normal
65726.wav,normal
65729.wav,normal
51396.wav,normal
51397.wav,normal
219375.wav,normal
2300.wav,normal
15112.wav,normal
172294.wav,normal
15122.wav,normal
15123.wav,normal
135484.wav,normal
61822.wav,normal
61823.wav,normal
12672.wav,normal
61829.wav,normal
61830.wav,normal
61832.wav,normal
405904.wav,normal
405905.wav,normal
64808.wav,normal
64809.wav,normal
84411.wav,normal
223720.wav,normal
377335.wav,normal
31245.wav,normal
381456.wav,normal
381457.wav,normal
381458.wav,normal
381459.wav,normal
381460.wav,normal
381461.wav,normal
381462.wav,normal
381463.wav,normal
381464.wav,normal
193046.wav,normal
381465.wav,normal
381467.wav,normal
381466.wav,normal
193050.wav,normal
193053.wav,normal
381471.wav,normal
381472.wav,normal
381470.wav,normal
381469.wav,normal
381468.wav,normal
381473.wav,normal
381474.wav,normal
381475.wav,normal
381476.wav,normal
381477.wav,normal
381478.wav,normal
381479.wav,normal
381480.wav,normal
381481.wav,normal
381482.wav,normal
381483.wav,normal
381484.wav,normal
381485.wav,normal
381486.wav,normal
381487.wav,normal
381488.wav,normal
381489.wav,normal
381490.wav,normal
381491.wav,normal
381492.wav,normal
381493.wav,normal
381494.wav,normal
381495.wav,normal
381496.wav,normal
381497.wav,normal
381498.wav,normal
381499.wav,normal
381500.wav,normal
381501.wav,normal
381502.wav,normal
381503.wav,normal
381504.wav,normal
381505.wav,normal
381506.wav,normal
381507.wav,normal
381508.wav,normal
381509.wav,normal
381510.wav,normal
381511.wav,normal
381512.wav,normal
381513.wav,normal
381514.wav,normal
381515.wav,normal
21099.wav,normal
21100.wav,normal
21101.wav,normal
21102.wav,normal
64230.wav,normal
64231.wav,normal
64232.wav,normal
64233.wav,normal
64234.wav,normal
64235.wav,normal
64236.wav,normal
64237.wav,normal
64238.wav,normal
64239.wav,normal
64240.wav,normal
64241.wav,normal
64242.wav,normal
64243.wav,normal
64244.wav,normal
64245.wav,normal
64246.wav,normal
64247.wav,normal
64248.wav,normal
64249.wav,normal
64250.wav,normal
64252.wav,normal
64253.wav,normal
64254.wav,normal
369407.wav,normal
64255.wav,normal
64256.wav,normal
64257.wav,normal
64258.wav,normal
64260.wav,normal
15109.wav,normal
15108.wav,normal
64259.wav,normal
64262.wav,normal
15111.wav,normal
64261.wav,normal
15110.wav,normal
64266.wav,normal
15117.wav,normal
15115.wav,normal
64268.wav,normal
15120.wav,normal
15121.wav,normal
64267.wav,normal
64271.wav,normal
15119.wav,normal
64272.wav,normal
64274.wav,normal
64276.wav,normal
64278.wav,normal
64279.wav,normal
64281.wav,normal
64282.wav,normal
64284.wav,normal
64285.wav,normal
64277.wav,normal
371487.wav,normal
64283.wav,normal
371489.wav,normal
371490.wav,normal
64286.wav,normal
371492.wav,normal
371493.wav,normal
371494.wav,normal
64287.wav,normal
371496.wav,normal
64288.wav,normal
371498.wav,normal
64290.wav,normal
64293.wav,normal
64295.wav,normal
64296.wav,normal
64297.wav,normal
64298.wav,normal
64305.wav,normal
64306.wav,normal
64299.wav,normal
64303.wav,normal
68437.wav,normal
68439.wav,normal
68440.wav,normal
68443.wav,normal
68444.wav,normal
68445.wav,normal
861.wav,normal
68448.wav,normal
328545.wav,normal
328547.wav,normal
50066.wav,normal
50067.wav,normal
50068.wav,normal
50069.wav,normal
25496.wav,normal
256951.wav,normal
132052.wav,normal
132058.wav,normal
132059.wav,normal
132063.wav,normal
132064.wav,normal
410629.wav,normal
410631.wav,normal
410632.wav,normal
410633.wav,normal
101383.wav,normal
410635.wav,normal
410637.wav,normal
410638.wav,normal
410640.wav,normal
410641.wav,normal
410642.wav,normal
410643.wav,normal
410644.wav,normal
410645.wav,normal
410646.wav,normal
410648.wav,normal
410649.wav,normal
410651.wav,normal
410653.wav,normal
410655.wav,normal
410656.wav,normal
410657.wav,normal
410658.wav,normal
410659.wav,normal
410660.wav,normal
410661.wav,normal
31782.wav,normal
410663.wav,normal
410664.wav,normal
410665.wav,normal
410666.wav,normal
410667.wav,normal
410669.wav,normal
410670.wav,normal
410671.wav,normal
410672.wav,normal
410673.wav,normal
410674.wav,normal
410676.wav,normal
410677.wav,normal
410678.wav,normal
21584.wav,normal
261288.wav,normal
23860.wav,normal
74994.wav,normal
23861.wav,normal
23862.wav,normal
23863.wav,normal
380170.wav,normal
64795.wav,normal
64802.wav,normal
253221.wav,normal
253222.wav,normal
253223.wav,normal
253224.wav,normal
64806.wav,normal
64810.wav,normal
253227.wav,normal
253228.wav,normal
64807.wav,normal
64814.wav,normal
253231.wav,normal
64815.wav,normal
64817.wav,normal
64818.wav,normal
253234.wav,normal
23858.wav,normal
253237.wav,normal
64822.wav,normal
23859.wav,normal
23864.wav,normal
23865.wav,normal
23866.wav,normal
23867.wav,normal
23868.wav,normal
23869.wav,normal
253246.wav,normal
23870.wav,normal
23871.wav,normal
253253.wav,normal
431453.wav,normal
316898.wav,normal
316899.wav,normal
316900.wav,normal
316901.wav,normal
316902.wav,normal
316904.wav,normal
21994.wav,normal
21995.wav,normal
316908.wav,normal
316907.wav,normal
316911.wav,normal
316912.wav,normal
22000.wav,normal
22002.wav,normal
22007.wav,normal
22015.wav,normal
159234.wav,normal
22018.wav,normal
159240.wav,normal
318987.wav,normal
159246.wav,normal
318991.wav,normal
159247.wav,normal
159248.wav,normal
159250.wav,normal
159249.wav,normal
159252.wav,normal
349717.wav,normal
159255.wav,normal
159257.wav,normal
159259.wav,normal
159261.wav,normal
159266.wav,normal
159277.wav,normal
159280.wav,normal
159287.wav,normal
159289.wav,normal
159290.wav,normal
159292.wav,normal
159294.wav,normal
159295.wav,normal
222802.wav,normal
321153.wav,normal
321158.wav,normal
321160.wav,normal
399045.wav,normal
399046.wav,normal
399047.wav,normal
399048.wav,normal
399049.wav,normal
399050.wav,normal
399051.wav,normal
399052.wav,normal
399053.wav,normal
399054.wav,normal
399055.wav,normal
399056.wav,normal
399057.wav,normal
64263.wav,normal
64264.wav,normal
64265.wav,normal
354056.wav,normal
64269.wav,normal
64275.wav,normal
212797.wav,normal
24420.wav,normal
64289.wav,normal
24469.wav,normal
118701.wav,normal
24495.wav,normal
24507.wav,normal
24510.wav,normal
42981.wav,normal
370664.wav,normal
191678.wav,normal
71370.wav,normal
253638.wav,normal
132584.wav,normal
147450.wav,normal
334620.wav,normal
135549.wav,normal
95380.wav,normal
81754.wav,normal
420692.wav,normal
420700.wav,normal
240893.wav,normal
387931.wav,normal
331800.wav,normal
331802.wav,normal
212219.wav,normal
333677.wav,normal
221016.wav,normal
69027.wav,normal
69430.wav,normal
49748.wav,normal
191600.wav,normal
192512.wav,normal
161760.wav,normal
47553.wav,normal
47556.wav,normal
345531.wav,normal
61444.wav,normal
335964.wav,normal
335969.wav,normal
335970.wav,normal
70294.wav,normal
10434.wav,normal
177006.wav,normal
10442.wav,normal
10450.wav,normal
10464.wav,normal
63271.wav,normal
168251.wav,normal
36161.wav,normal
432464.wav,normal
432465.wav,normal
204628.wav,normal
204640.wav,normal
204642.wav,normal
414574.wav,normal
34795.wav,normal
34796.wav,normal
204465.wav,normal
204466.wav,normal
80558.wav,normal
201589.wav,normal
201591.wav,normal
83675.wav,normal
22354.wav,normal
241721.wav,normal
241724.wav,normal
164948.wav,normal
387991.wav,normal
280204.wav,normal
353178.wav,normal
244807.wav,normal
380029.wav,normal
29558.wav,normal
360843.wav,normal
394913.wav,normal
160684.wav,normal
253763.wav,normal
331520.wav,normal
380801.wav,normal
353769.wav,normal
353770.wav,normal
352296.wav,normal
37558.wav,normal
255677.wav,normal
255680.wav,normal
255692.wav,normal
152781.wav,normal
34513.wav,normal
152787.wav,normal
353538.wav,normal
386879.wav,normal
193859.wav,normal
204625.wav,normal
204632.wav,normal
56673.wav,normal
368522.wav,normal
375696.wav,normal
434183.wav,normal
24604.wav,normal
354965.wav,normal
330590.wav,normal
330593.wav,normal
639.wav,normal
13155.wav,normal
666.wav,normal
670.wav,normal
673.wav,normal
677.wav,normal
156365.wav,normal
732.wav,normal
733.wav,normal
735.wav,normal
759.wav,normal
246523.wav,normal
769.wav,normal
246563.wav,normal
246564.wav,normal
246571.wav,normal
246579.wav,normal
246580.wav,normal
246583.wav,normal
246584.wav,normal
246586.wav,normal
246589.wav,normal
246590.wav,normal
246591.wav,normal
246596.wav,normal
246597.wav,normal
246598.wav,normal
156490.wav,normal
246604.wav,normal
246605.wav,normal
246606.wav,normal
246607.wav,normal
246608.wav,normal
246609.wav,normal
156501.wav,normal
254806.wav,normal
246619.wav,normal
246620.wav,normal
330701.wav,normal
246626.wav,normal
246628.wav,normal
25448.wav,normal
246635.wav,normal
246636.wav,normal
133689.wav,normal
246639.wav,normal
246643.wav,normal
246644.wav,normal
246651.wav,normal
246655.wav,normal
246656.wav,normal
246657.wav,normal
246661.wav,normal
246663.wav,normal
246665.wav,normal
246667.wav,normal
246669.wav,normal
246670.wav,normal
246671.wav,normal
246674.wav,normal
133696.wav,normal
246675.wav,normal
246676.wav,normal
246678.wav,normal
133697.wav,normal
246681.wav,normal
246682.wav,normal
246687.wav,normal
246688.wav,normal
246693.wav,normal
246694.wav,normal
246699.wav,normal
246700.wav,normal
246701.wav,normal
246702.wav,normal
246703.wav,normal
246706.wav,normal
246707.wav,normal
246708.wav,normal
246711.wav,normal
133704.wav,normal
328734.wav,normal
394288.wav,normal
328777.wav,normal
246937.wav,normal
246940.wav,normal
246946.wav,normal
246947.wav,normal
83113.wav,normal
246954.wav,normal
246955.wav,normal
246958.wav,normal
246966.wav,normal
246968.wav,normal
246969.wav,normal
246973.wav,normal
246974.wav,normal
246975.wav,normal
246978.wav,normal
246979.wav,normal
246980.wav,normal
246985.wav,normal
246986.wav,normal
246987.wav,normal
246988.wav,normal
246993.wav,normal
246995.wav,normal
1236.wav,normal
1240.wav,normal
1243.wav,normal
247005.wav,normal
247007.wav,normal
247009.wav,normal
247010.wav,normal
247011.wav,normal
247014.wav,normal
247016.wav,normal
247017.wav,normal
247019.wav,normal
247020.wav,normal
247021.wav,normal
247022.wav,normal
247024.wav,normal
247032.wav,normal
247034.wav,normal
247036.wav,normal
355207.wav,normal
247042.wav,normal
247043.wav,normal
355208.wav,normal
247045.wav,normal
247047.wav,normal
247050.wav,normal
247051.wav,normal
247052.wav,normal
247054.wav,normal
247055.wav,normal
25894.wav,normal
355215.wav,normal
25896.wav,normal
355219.wav,normal
355221.wav,normal
355224.wav,normal
355225.wav,normal
355228.wav,normal
148845.wav,normal
355232.wav,normal
355237.wav,normal
355240.wav,normal
355241.wav,normal
355252.wav,normal
355261.wav,normal
355262.wav,normal
355264.wav,normal
355265.wav,normal
355269.wav,normal
355271.wav,normal
355274.wav,normal
355276.wav,normal
355281.wav,normal
355286.wav,normal
355292.wav,normal
355295.wav,normal
355296.wav,normal
119204.wav,normal
355297.wav,normal
355299.wav,normal
26320.wav,normal
119207.wav,normal
355300.wav,normal
355301.wav,normal
355303.wav,normal
355304.wav,normal
119213.wav,normal
355306.wav,normal
119215.wav,normal
119216.wav,normal
355310.wav,normal
355311.wav,normal
119219.wav,normal
355312.wav,normal
1809.wav,normal
355313.wav,normal
1813.wav,normal
119221.wav,normal
1818.wav,normal
1819.wav,normal
1822.wav,normal
1823.wav,normal
355316.wav,normal
1829.wav,normal
119225.wav,normal
119226.wav,normal
119228.wav,normal
119229.wav,normal
119230.wav,normal
255813.wav,normal
119231.wav,normal
119232.wav,normal
119233.wav,normal
119234.wav,normal
119238.wav,normal
119239.wav,normal
403315.wav,normal
119244.wav,normal
223139.wav,normal
119250.wav,normal
119251.wav,normal
42932.wav,normal
42933.wav,normal
119255.wav,normal
165832.wav,normal
119265.wav,normal
119266.wav,normal
119267.wav,normal
373270.wav,normal
119271.wav,normal
373275.wav,normal
373276.wav,normal
373278.wav,normal
354344.wav,normal
354346.wav,normal
354350.wav,normal
354353.wav,normal
223284.wav,normal
223285.wav,normal
373281.wav,normal
354362.wav,normal
354364.wav,normal
354367.wav,normal
373283.wav,normal
354371.wav,normal
354372.wav,normal
354373.wav,normal
354374.wav,normal
373284.wav,normal
354376.wav,normal
119282.wav,normal
354378.wav,normal
354381.wav,normal
119283.wav,normal
373286.wav,normal
354387.wav,normal
354388.wav,normal
354389.wav,normal
354390.wav,normal
354392.wav,normal
119285.wav,normal
354393.wav,normal
354395.wav,normal
373288.wav,normal
354397.wav,normal
119286.wav,normal
354399.wav,normal
354401.wav,normal
354402.wav,normal
119287.wav,normal
354403.wav,normal
373290.wav,normal
373291.wav,normal
354410.wav,normal
354412.wav,normal
354413.wav,normal
354414.wav,normal
354415.wav,normal
354417.wav,normal
354418.wav,normal
354421.wav,normal
215159.wav,normal
354423.wav,normal
373294.wav,normal
354426.wav,normal
100476.wav,normal
354431.wav,normal
354433.wav,normal
354434.wav,normal
354435.wav,normal
373296.wav,normal
354439.wav,normal
354443.wav,normal
373298.wav,normal
354445.wav,normal
354447.wav,normal
354448.wav,normal
373299.wav,normal
354452.wav,normal
354453.wav,normal
354454.wav,normal
373300.wav,normal
354457.wav,normal
354459.wav,normal
354460.wav,normal
373301.wav,normal
354462.wav,normal
373302.wav,normal
354466.wav,normal
354469.wav,normal
354473.wav,normal
354475.wav,normal
354477.wav,normal
354478.wav,normal
373305.wav,normal
354481.wav,normal
354483.wav,normal
354485.wav,normal
354489.wav,normal
354492.wav,normal
354493.wav,normal
157886.wav,normal
354495.wav,normal
373309.wav,normal
354503.wav,normal
354504.wav,normal
373310.wav,normal
354507.wav,normal
354508.wav,normal
354510.wav,normal
354511.wav,normal
13474.wav,normal
354512.wav,normal
354514.wav,normal
354515.wav,normal
354516.wav,normal
13475.wav,normal
354517.wav,normal
13476.wav,normal
354523.wav,normal
119311.wav,normal
354525.wav,normal
13477.wav,normal
354527.wav,normal
354529.wav,normal
354530.wav,normal
13478.wav,normal
18661.wav,normal
119313.wav,normal
354533.wav,normal
13479.wav,normal
354537.wav,normal
119314.wav,normal
354540.wav,normal
354541.wav,normal
373317.wav,normal
119315.wav,normal
354546.wav,normal
354547.wav,normal
119316.wav,normal
354549.wav,normal
373319.wav,normal
373320.wav,normal
354556.wav,normal
354558.wav,normal
354559.wav,normal
354562.wav,normal
119319.wav,normal
354564.wav,normal
354565.wav,normal
373322.wav,normal
354569.wav,normal
373323.wav,normal
182547.wav,normal
182548.wav,normal
182549.wav,normal
182550.wav,normal
182551.wav,normal
182552.wav,normal
182553.wav,normal
182554.wav,normal
119323.wav,normal
182556.wav,normal
182557.wav,normal
182558.wav,normal
182559.wav,normal
182560.wav,normal
182561.wav,normal
182562.wav,normal
182563.wav,normal
182564.wav,normal
354588.wav,normal
354590.wav,normal
354591.wav,normal
354592.wav,normal
354595.wav,normal
354601.wav,normal
354602.wav,normal
354603.wav,normal
354606.wav,normal
119328.wav,normal
373331.wav,normal
354614.wav,normal
119329.wav,normal
354618.wav,normal
354620.wav,normal
354621.wav,normal
354622.wav,normal
354623.wav,normal
354624.wav,normal
119331.wav,normal
354626.wav,normal
373333.wav,normal
119332.wav,normal
354630.wav,normal
373335.wav,normal
354635.wav,normal
354636.wav,normal
373336.wav,normal
354638.wav,normal
354640.wav,normal
354641.wav,normal
373337.wav,normal
354643.wav,normal
119335.wav,normal
354645.wav,normal
373338.wav,normal
354648.wav,normal
354649.wav,normal
354651.wav,normal
354653.wav,normal
354657.wav,normal
354658.wav,normal
354659.wav,normal
354662.wav,normal
354664.wav,normal
373342.wav,normal
354667.wav,normal
354668.wav,normal
354669.wav,normal
354671.wav,normal
373344.wav,normal
354681.wav,normal
354685.wav,normal
354686.wav,normal
373346.wav,normal
354688.wav,normal
354689.wav,normal
354690.wav,normal
354693.wav,normal
354694.wav,normal
354696.wav,normal
354699.wav,normal
